Name,Time1,Time2
DEFAULT,첫번째 시도: 03:03.2,두번째 시도: 07:08.1
KUUVe,첫번째 시도: 03:14.9,두번째 시도: 08:14.1
boxbox,첫번째 시도: 03:15.1,두번째 시도: 03:34.0
링크빅,첫번째 시도: 기록 없음,두번째 시도: 04:01.3
부앙부앙,첫번째 시도: 기록 없음,두번째 시도: 04:38.8
Autonome,첫번째 시도: 기록 없음,두번째 시도: 04:52.5
P.I.S,첫번째 시도: 04:56.4,두번째 시도: 기록 없음
떡볶이에다가순대,첫번째 시도: 기록 없음,두번째 시도: 04:57.1
SPG,첫번째 시도: 기록 없음,두번째 시도: 05:12.7
자유로,첫번째 시도: 기록 없음,두번째 시도: 05:14.3
충전완료,첫번째 시도: 05:39.6,두번째 시도: 기록 없음
BISA모빌루션,첫번째 시도: 기록 없음,두번째 시도: 07:17.7
ajoutonomy,첫번째 시도: 기록 없음,두번째 시도: 12:33.6
Drive HA,첫번째 시도: 기록 없음,두번째 시도: 기록 없음
꽃보다할배,첫번째 시도: 기록 없음,두번째 시도: 기록 없음
북북이,첫번째 시도: 기록 없음,두번째 시도: 기록 없음
안산 봉붕이가 간다,첫번째 시도: 기록 없음,두번째 시도: 기록 없음
차박킹,첫번째 시도: 기록 없음,두번째 시도: 기록 없음
